ConRatio,Clauses,KClauses,dAmoCnt,eAmoCnt,DirMax,EncMax,OtherCnt,ElimVars,EncodeWeightSumK,Star_Time_CPU,Star_Time_Wall,Time,Name
0.136388434,1833,250,29,0,13,0,0,0,0,0.06,0.11,0.02,e88d7cee13b8236278250494837bb819-bart23.shuffled
0.138823529,1700,236,28,0,13,0,0,0,0,0.05,0.12,0.02,2889a0f3ef28b77cb06738207393db7c-bart21.shuffled
0.141414141,693,98,17,0,9,0,0,0,0,0.05,0.1,0.01,8bcf7a159f222efa1ae718bd2a0e4897-battleship-9-17-sat
0.142299849,22558,3210,1537,0,11,0,0,0,0,0.58,0.43,0.34,b64fd5133b8560cbe90bf267de4d9e77-qwh.40.544.shuffled-as.sat03-1653
0.143439837,1471,211,14,0,14,0,0,0,0,0.05,0.11,0.02,bd9c3ce8c75df3a94eda414514ac5b3a-php14e14
0.145363409,1596,232,28,0,12,0,0,0,0,0.06,0.12,0.02,14f630622696acf0317df1ff5e20b1e9-bart22.shuffled
0.147337485,1884008,277585,4287,0,144,0,0,0,0,77.19,77.22,76.32,e1a327e005a719533ea391244760a57a-em_14_7_3_all
0.148373984,1476,219,27,0,12,0,0,0,0,0.06,0.11,0.02,7ca6261a802a16061c75bd9f139637ec-bart20.shuffled
0.151917404,1356,206,26,0,12,0,0,0,0,0.06,0.11,0.02,c369e852e7dfded433aad34a19100310-bart18.shuffled
0.153846154,1183,182,13,0,13,0,0,0,0,0.05,0.11,0.02,d88c6afc13cdad0e2c8371a879692b39-battleship-13-13-unsat
